14025 28.35 19.99 45.78 5.08 1.63 0.8 4.95 A
14164 28.7 20 45.12 4.93 1.56 1.25 4.91 A
14154 30.91 19.65 42.45 4.81 1.65 2.81 4.72 A
24082 31.02 19.05 42.29 5.27 1.71 2.37 4.66 A
24138 29.62 21.1 43.37 5.05 1.69 0.86 4.78 A
14047 49.99 13.35 29.2 3.52 1.05 3.94 3.32 B
14074 50.72 12.93 29.88 3.6 1.03 2.87 3.32 B
14149 54.96 14.26 22.99 3.19 0.9 4.6 2.82 B
14113 54.12 14.06 24.95 3.14 0.82 3.73 2.96 B
24118 51.75 13.18 28.38 3.04 0.86 3.65 3.23 B
14106 50.18 28.3 15.79 3.47 0.45 2.26 2.64 C
14014 48.15 27.98 18.69 3.58 0.48 1.7 2.87 C
14151 51.59 26.24 16.41 3.61 0.6 2.15 2.61 C
24058 49.27 27.42 17.42 3.05 0.33 2.84 2.78 C
34010 50.98 26.34 16.47 3.2 0.43 3.01 2.66 C
34003 49.57 25.46 20.79 3.04 0.37 1.14 2.94 C
14072 47.6 22.07 21.13 4.07 0.72 5.13 2.99 D
14107 46.88 21.71 23.6 4.59 0.75 3.22 3.12 D
14140 48.44 22.73 21.05 5.22 0.98 2.56 2.91 D
24030 48.01 21.31 21.05 4.01 0.73 5.62 2.97 D
24153 48.81 22.43 18.68 4.1 0.72 5.98 2.82 D
24123 46.28 21.51 25.44 4.58 0.6 2.19 3.24 D
24043 52.19 26 16.64 4.17 0.61 1 2.58 D
14099 35.14 8.05 15.77 1.38 0.41 39.66 3.33 G
14122 36.04 7.74 15.49 1.45 0.45 39.28 3.27 G
14126 37.78 8.3 13.05 1.64 0.49 39.23 3.08 G
34037 28.03 7.65 18.39 1.53 0.49 44.4 3.74 H
14118 29.79 8.17 14.35 1.49 0.46 46.2 3.46 H
14143 29.54 7.79 15.08 1.41 0.45 46.18 3.52 H
24035 27.65 7.78 17.3 1.29 0.4 46.25 3.72 H
24049 28.33 7.82 17.96 1.41 0.45 44.48 3.71 H
24103 30.15 8.06 12.23 1.5 0.47 48.06 3.35 H
34034 28.36 7.62 19.29 1.45 0.47 43.28 3.77 H
14153 28.83 8.26 20.1 1.37 0.42 41.44 3.8 I
14077 33.09 7.87 12.07 1.37 0.44 45.6 3.23 I
14166 27.56 8.25 14.65 1.45 0.46 48.09 3.57 I
24041 30.63 8.21 17.33 1.39 0.42 42.44 3.59 I
24033 28.55 8.25 17.3 1.48 0.47 44.42 3.66 I
24119 27.16 8.27 14.68 1.79 0.46 48.1 3.58 I
14100 33.44 7.45 18.49 1.39 0.4 39.23 3.53 J
34007 36.73 7.42 18.16 1.17 0.39 36.52 3.39 J
24100 34.61 7.17 17.88 1.29 0.4 39.05 3.46 J
24107 54.32 10.66 14.04 2.03 0.46 18.95 2.45 K
24111 52.9 10.19 14.35 2.02 0.49 20.54 2.52 K
14157 54.43 9.61 12.18 2.16 0.51 21.62 2.35 K
14067 54.87 10.78 13.65 2.08 0.5 18.62 2.4 K
34022 54.28 10.75 13.87 2.13 0.46 18.97 2.4 K
34021 54.54 10.4 13.22 2.1 0.47 19.74 2.4 K
34026 54.17 10.13 13.25 2.07 0.46 20.38 2.41 K
14043 47.84 10.16 14.56 2.27 0.54 25.17 2.72 L
24073 46.13 10.84 13.99 2.38 0.64 26.66 2.76 L
24071 46.22 11.26 15.93 2.47 0.63 24.12 2.85 L
24056 43.45 10.81 19.49 2.51 0.68 23.74 3.14 L
24070 45.21 9.39 16.23 2.14 0.55 27.03 2.92 L
24069 43.15 11.79 18.46 2.43 0.67 24.17 3.1 L
34039 44.55 11.01 16.03 2.43 0.64 25.98 2.92 L
